"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHOSIS_000002","PUBLISHED","2019","EMR","","AFG","MLE","54.7","54.73407","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EMR","","AFG","FMLE","46.6","46.58344","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EMR","","AFG","BTSX","46.8","46.76397","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","AGO","MLE","41.2","41.18177","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","AGO","FMLE","44.7","44.74432","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","AGO","BTSX","42.9","42.87378","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","ALB","MLE","63.1","63.14932","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","ALB","FMLE","68.9","68.85171","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","ALB","BTSX","67.6","67.56772","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EMR","","ARE","MLE","64.9","64.91484","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EMR","","ARE","FMLE","65.3","65.25387","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EMR","","ARE","BTSX","65.1","65.10197","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AMR","","ARG","MLE","64.4","64.37117","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AMR","","ARG","FMLE","68.7","68.69806","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AMR","","ARG","BTSX","66.9","66.85706","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","ARM","MLE","63.7","63.66690","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","ARM","FMLE","68.1","68.14306","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","ARM","BTSX","66.0","65.99944","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AMR","","ATG","MLE","66.2","66.24539","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AMR","","ATG","FMLE","67.7","67.69177","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AMR","","ATG","BTSX","67.0","66.97486","","","","",""
"WHOSIS_000002","PUBLISHED","2019","WPR","","AUS","MLE","70.2","70.15115","","","","",""
"WHOSIS_000002","PUBLISHED","2019","WPR","","AUS","FMLE","71.7","71.73072","","","","",""
"WHOSIS_000002","PUBLISHED","2019","WPR","","AUS","BTSX","70.9","70.93405","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","AUT","FMLE","69.8","69.81113","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","AUT","BTSX","68.2","68.17779","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","AZE","MLE","56.6","56.62009","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","AZE","FMLE","60.4","60.41421","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","AZE","BTSX","58.5","58.49506","","","","",""
